"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01
"Total consumer credit securitized by depository institutions, not seasonally adjusted level","Currency","1000000","USD",G19/CCOUT/DTCNLHD_N.M,DTCNLHD_N.M,2998.21,2894.24,2783.43,2686.89,2587.47,2491.73,2409.21,2327.17,2247.77,2116.43,1989.33,1861.66,1859.09,1860.08,1861.18,1809.32,1755.72,1703.86,1642.45,1581.05,1522.29,1484.10,1447.79,1409.50,1356.13,1307.23,1256.39,1316.26,1381.54,1450.69,1726.41,2008.12,2278.72,2518.58,2748.75,2973.88,2994.48,3001.59,3009.13,3010.03,3010.61,3020.46,3213.27,3415.36,3841.17,7976.39,12201.03,16263.30,15449.38,14404.35,13383.60,13892.34,14517.60,15104.87,15425.69,15728.69,16003.26,15920.09,15821.55,15709.86,15260.95
"Total consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Currency","1000000","USD",G19/CCOUT/DTCNLHD_XDF_BA_N.M,DTCNLHD_XDF_BA_N.M,-111.99,-103.97,-110.82,-96.54,-99.42,-95.73,-82.52,-82.04,-79.40,-131.34,-127.10,-127.68,-2.56,0.99,1.10,-51.87,-53.59,-51.87,-61.40,-61.40,-58.76,-38.18,-36.31,-38.29,-53.37,-48.90,-50.84,59.87,65.28,69.15,275.72,281.71,270.60,239.87,230.17,225.13,20.59,7.11,7.54,0.90,0.58,9.85,192.81,202.09,425.81,4135.23,4224.64,4062.28,-813.92,-1045.03,-1020.75,508.74,625.26,587.27,320.82,303.00,274.57,-83.17,-98.54,-111.69,-448.91
"Total consumer credit securitized by finance companies, not seasonally adjusted level","Currency","1000000","USD",G19/CCOUT/DTCNLHF_N.M,DTCNLHF_N.M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Total consumer credit securitized by finance companies, not seasonally adjusted flow, monthly rate","Currency","1000000","USD",G19/CCOUT/DTCNLHF_XDF_BA_N.M,DTCNLHF_XDF_BA_N.M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Nonrevolving consumer credit securitized by depository institutions, not seasonally adjusted level","Currency","1000000","USD",G19/CCOUT/DTCNLNHD_N.M,DTCNLNHD_N.M,2998.21,2894.24,2783.43,2686.89,2587.47,2491.73,2409.21,2327.17,2247.77,2116.43,1989.33,1861.66,1859.09,1860.08,1861.18,1809.32,1755.72,1703.86,1642.45,1581.05,1522.29,1484.10,1447.79,1409.31,1351.99,1299.36,1244.25,1295.36,1351.44,1411.60,1674.94,1944.18,2202.87,2433.48,2654.85,2871.10,2886.31,2888.76,2891.18,2888.07,2884.57,2890.63,3082.93,3284.69,3710.30,7847.41,12074.01,16138.45,15329.15,14288.59,13272.53,13784.64,14413.31,15003.83,15327.39,15633.08,15910.23,15829.11,15732.53,15622.90,15177.40
"Nonrevolving consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Currency","1000000","USD",G19/CCOUT/DTCNLNHD_XDF_BA_N.M,DTCNLNHD_XDF_BA_N.M,-111.99,-103.97,-110.82,-96.54,-99.42,-95.73,-82.52,-82.04,-79.40,-131.34,-127.10,-127.68,-2.56,0.99,1.10,-51.87,-53.59,-51.87,-61.40,-61.40,-58.76,-38.18,-36.31,-38.48,-57.31,-52.63,-55.11,51.11,56.08,60.16,263.35,269.24,258.69,230.61,221.37,216.25,15.21,2.45,2.42,-3.11,-3.51,6.07,192.30,201.76,425.61,4137.12,4226.59,4064.45,-809.30,-1040.57,-1016.06,512.11,628.67,590.53,323.55,305.69,277.15,-81.11,-96.58,-109.63,-445.50
"Nonrevolving consumer credit securitized by finance companies, not seasonally adjusted level","Currency","1000000","USD",G19/CCOUT/DTCNLNHF_N.M,DTCNLNHF_N.M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Nonrevolving consumer credit securitized by finance companies, not seasonally adjusted flow, monthly rate","Currency","1000000","USD",G19/CCOUT/DTCNLNHF_XDF_BA_N.M,DTCNLNHF_XDF_BA_N.M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Revolving consumer credit securitized by depository institutions, not seasonally adjusted level","Currency","1000000","USD",G19/CCOUT/DTCNLRHD_N.M,DTCNLRHD_N.M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,4.13,7.87,12.14,20.90,30.10,39.09,51.47,63.93,75.84,85.10,93.90,102.78,108.17,112.83,117.95,121.96,126.04,129.83,130.34,130.67,130.87,128.98,127.02,124.85,120.23,115.77,111.08,107.70,104.30,101.04,98.30,95.61,93.03,90.98,89.02,86.96,83.56
"Revolving consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Currency","1000000","USD",G19/CCOUT/DTCNLRHD_XDF_BA_N.M,DTCNLRHD_XDF_BA_N.M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,3.94,3.73,4.27,8.76,9.20,8.99,12.38,12.47,11.91,9.25,8.80,8.88,5.38,4.67,5.12,4.01,4.09,3.78,0.51,0.34,0.20,-1.89,-1.96,-2.17,-4.62,-4.46,-4.69,-3.37,-3.41,-3.26,-2.73,-2.70,-2.58,-2.05,-1.96,-2.06,-3.41
